PRODUTC,VALUE,DATETIME,CELL_ON_SITE,DW_A_NUMBER_INT,DW_B_NUMBER_INT,COUNTRY_A,COUNTRY_B,CELL_ID,SITE_ID
Voice,12,01:45.0,0,fab802e5da21133,7e214fc31cab379,19e2e,19e2e,a1697e12e4,88bb1bbeb9
Voice,0,01:45.0,4,0825c64f379b44d,5ce26b935e5c553,19e2e,19e2e,8d01db6669,2c0cbe7cc1
Voice,300,01:45.0,0,958a6545e532d7f,507de4047686d56,19e2e,19e2e,72892aad87,4f81d93bc5
Voice,16,01:45.0,3,f08b267ccc34df7,7838ec459902c92,19e2e,19e2e,93d38fc386,3ae1708153
Voice,1,01:45.0,0,1c42eaaccdd2a24,74398433cb648be,19e2e,19e2e,f4aceab2e2,739e843470
Voice,0,01:45.0,1,1701076ffb7b6c5,5721affc36024ac,19e2e,19e2e,c789c9c1b9,b31b14d48a
Voice,0,01:45.0,1,0aac50efef5baae,55ad144fa74fddc,19e2e,19e2e,271b3ff150,a9a91087bc
sms,0,01:45.0,0,34417164bafb5d3,e714f9e6f137568,19e2e,19e2e,23c5372bd3,e942f32a29
sms,0,01:45.0,2,779544a709fa9ea,8a221155f782dad,19e2e,19e2e,faec238627,018c57e9b9
sms,0,01:45.0,4,3881616c4a8c290,aaaf0e4bdec7311,19e2e,19e2e,94737f2f96,2dd67b6a64
sms,0,01:45.0,2,98caca9b6bd898e,eeae7545ec72ebd,19e2e,19e2e,be3c23ac6e,6049499424
Voice,6,01:45.0,5,3429f3aad166a05,1fed035a9a26d34,19e2e,19e2e,0cb2f2263d,901f4120cb
sms,0,01:45.0,0,3399b583b23f44e,af43c5695e39999,19e2e,19e2e,ef7d7f4e3b,91e86be9a6
Voice,30,01:45.0,2,0fea0c7be2cb116,5a22eef24b81fb7,19e2e,19e2e,9f2025bbed,464083a6c2
Voice,7,01:45.0,0,5c37502aad9ad6a,b0eee47f33b8b4f,19e2e,19e2e,f4aceab2e2,739e843470
sms,0,01:45.0,2,04bfa196e1ada3a,92224cb960819df,19e2e,19e2e,154c0d2189,fe9fcfbf99
sms,0,01:45.0,0,1364d51227f1b45,de4a443cbeac368,19e2e,19e2e,534bf6a254,02ba205929
sms,0,01:45.0,5,2b20ac6a9de4ac9,aaaf0e4bdec7311,19e2e,19e2e,4ddca7b291,a7bd4c027b
sms,50,01:45.0,1,d4ef1bd6a2351ce,5afc95129c699cd,19e2e,19e2e,05813ba0f9,75bef3291a
sms,100,01:45.0,0,96d69283433ae85,b416a9316a1c806,19e2e,OTHER,a5886b5b03,0d29cf42e0
sms,0,01:45.0,1,fb5db923774ffba,50813dedbcb8838,19e2e,19e2e,14bedd66a9,91e86be9a6
sms,0,01:45.0,1,3ea2f05d67993d0,035ef8230e8768b,19e2e,19e2e,437de362db,4df1cab780
sms,0,01:45.0,0,05d7d3b2dee4bac,1379b279cc0dc1f,19e2e,19e2e,ea63caa914,c1ec9c885f
sms,0,01:45.0,2,e701fa6664b5713,aaaf0e4bdec7311,19e2e,19e2e,7a5d2e6161,e942f32a29
sms,0,01:45.0,0,638ee058f341952,073d0363e93ad82,19e2e,19e2e,a784b2f173,9c6e07f63b
